Date,LightOil
1989-01-01,54.9
1989-02-01,54
1989-03-01,57.3
1989-04-01,61.5
1989-05-01,57.5
1989-06-01,53.3
1989-07-01,52.7
1989-08-01,53.5
1989-09-01,59.3
1989-10-01,64
1989-11-01,64.4
1989-12-01,68.1
1990-01-01,85.3
1990-02-01,59.4
1990-03-01,60.4
1990-04-01,61
1990-05-01,58.4
1990-06-01,53
1990-07-01,51.6
1990-08-01,72.3
1990-09-01,87.3
1990-10-01,104.8
1990-11-01,98.9
1990-12-01,89.3
1991-01-01,82.9
1991-02-01,74.3
1991-03-01,61.6
1991-04-01,60
1991-05-01,59.6
1991-06-01,57.6
1991-07-01,58.1
1991-08-01,62.1
1991-09-01,65.4
1991-10-01,67.6
1991-11-01,71
1991-12-01,62.2
1992-01-01,54.4
1992-02-01,57.3
1992-03-01,56
1992-04-01,59
1992-05-01,62.1
1992-06-01,65.4
1992-07-01,64.6
1992-08-01,63.3
1992-09-01,65.6
1992-10-01,68.2
1992-11-01,64.2
1992-12-01,59.4
1993-01-01,59
1993-02-01,60.4
1993-03-01,63.2
1993-04-01,62.4
1993-05-01,62.6
1993-06-01,60.8
1993-07-01,57
1993-08-01,54.4
1993-09-01,59.3
1993-10-01,65.4
1993-11-01,61.6
1993-12-01,51.4
1994-01-01,51.5
1994-02-01,57.5
1994-03-01,56.2
1994-04-01,54.7
1994-05-01,54.7
1994-06-01,54.1
1994-07-01,56.3
1994-08-01,57.5
1994-09-01,57.7
1994-10-01,57.7
1994-11-01,58.8
1994-12-01,54.7
1995-01-01,54.7
1995-02-01,53.3
1995-03-01,54.3
1995-04-01,57.1
1995-05-01,59.1
1995-06-01,55.8
1995-07-01,53.5
1995-08-01,55.6
1995-09-01,58.2
1995-10-01,57.8
1995-11-01,59.5
1995-12-01,60.6
1996-01-01,62.6
1996-02-01,59.7
1996-03-01,63.5
1996-04-01,74.7
1996-05-01,72
1996-06-01,62.8
1996-07-01,64.3
1996-08-01,66.5
1996-09-01,73.4
1996-10-01,79.7
1996-11-01,76.5
1996-12-01,76.1
1997-01-01,73.7
1997-02-01,72.3
1997-03-01,65.2
1997-04-01,65.3
1997-05-01,64.2
1997-06-01,60.8
1997-07-01,57.8
1997-08-01,61.5
1997-09-01,60.4
1997-10-01,64.8
1997-11-01,65.8
1997-12-01,59.4
1998-01-01,54.1
1998-02-01,52
1998-03-01,48.3
1998-04-01,50.2
1998-05-01,50
1998-06-01,46.3
1998-07-01,45
1998-08-01,44
1998-09-01,48.3
1998-10-01,47.4
1998-11-01,46.2
1998-12-01,38.8
1999-01-01,40.9
1999-02-01,38.2
1999-03-01,42.8
1999-04-01,52.5
1999-05-01,52.6
1999-06-01,52.4
1999-07-01,58.7
1999-08-01,63
1999-09-01,67.6
1999-10-01,65.5
1999-11-01,71.3
1999-12-01,72.9
2000-01-01,75.3
2000-02-01,87.9
2000-03-01,89.7
2000-04-01,83.1
2000-05-01,82.9
2000-06-01,86.2
2000-07-01,88.7
2000-08-01,91.6
2000-09-01,110.1
2000-10-01,108.6
2000-11-01,108.4
2000-12-01,100.6
2001-01-01,96.1
2001-02-01,91.6
2001-03-01,83.1
2001-04-01,86.2
2001-05-01,94.2
2001-06-01,90.2
2001-07-01,81.3
2001-08-01,83.2
2001-09-01,93
2001-10-01,76.8
2001-11-01,70.5
2001-12-01,56.6
2002-01-01,58.3
2002-02-01,59.6
2002-03-01,69.1
2002-04-01,76.4
2002-05-01,75
2002-06-01,71.4
2002-07-01,75.5
2002-08-01,77.9
2002-09-01,89.5
2002-10-01,95.1
2002-11-01,82.8
2002-12-01,84.6
2003-01-01,95.7
2003-02-01,120.4
2003-03-01,128.9
2003-04-01,98.3
2003-05-01,85.5
2003-06-01,87.2
2003-07-01,90.1
2003-08-01,94.1
2003-09-01,88.2
2003-10-01,97.8
2003-11-01,93
2003-12-01,95.8
2004-01-01,106.8
2004-02-01,100.8
2004-03-01,107.8
2004-04-01,115.2
2004-05-01,116
2004-06-01,111.5
2004-07-01,119.3
2004-08-01,131.1
2004-09-01,136.8
2004-10-01,161.7
2004-11-01,153.6
2004-12-01,133.8
2005-01-01,138.5
2005-02-01,146
2005-03-01,169.4
2005-04-01,170.9
2005-05-01,165.3
2005-06-01,180.6
2005-07-01,186.2
2005-08-01,194.5
2005-09-01,209.9
2005-10-01,252
2005-11-01,199.1
2005-12-01,193.6
2006-01-01,191.8
2006-02-01,190
2006-03-01,199.2
2006-04-01,221.9
2006-05-01,231.4
2006-06-01,238.1
2006-07-01,231.6
2006-08-01,241.4
2006-09-01,203.1
2006-10-01,198.1
2006-11-01,198.2
2006-12-01,200.4
2007-01-01,180
2007-02-01,191.5
2007-03-01,215.1
2007-04-01,231.8
2007-05-01,225.3
2007-06-01,222.4
2007-07-01,237.8
2007-08-01,225.5
2007-09-01,238.9
2007-10-01,243.3
2007-11-01,288.2
2007-12-01,266.7
2008-01-01,273.8
2008-02-01,280.2
2008-03-01,339.6
2008-04-01,352.5
2008-05-01,384.9
2008-06-01,410.5
2008-07-01,423.8
2008-08-01,343.9
2008-09-01,335.1
2008-10-01,279
2008-11-01,218.2
2008-12-01,163
2009-01-01,159.8
2009-02-01,145.6
2009-03-01,136.8
2009-04-01,159.9
2009-05-01,158.6
2009-06-01,183.7
2009-07-01,165.2
2009-08-01,196.1
2009-09-01,186.6
2009-10-01,193.3
2009-11-01,207.8
2009-12-01,197.5
2010-01-01,220.7
2010-02-01,200.2
2010-03-01,217
2010-04-01,231.5
2010-05-01,226
2010-06-01,212.4
2010-07-01,209.3
2010-08-01,221.4
2010-09-01,220
2010-10-01,235.8
2010-11-01,245.3
2010-12-01,250
2011-01-01,260.4
2011-02-01,278.8
2011-03-01,307.5
2011-04-01,325.1
2011-05-01,315.1
2011-06-01,316.9
2011-07-01,311.5
2011-08-01,296.9
2011-09-01,306.5
2011-10-01,299.6
2011-11-01,322.7
2011-12-01,301
2012-01-01,308.8
2012-02-01,316.5
2012-03-01,330.8
2012-04-01,327.1
2012-05-01,315.6
2012-06-01,284.6
2012-07-01,287.9
2012-08-01,313.4
2012-09-01,330.4
2012-10-01,334.1
2012-11-01,311.6
2012-12-01,303.3
2013-01-01,303.6
2013-02-01,327.7
2013-03-01,308.7
2013-04-01,303.9
2013-05-01,296.4
2013-06-01,294.9
2013-07-01,300.4
2013-08-01,307.4
2013-09-01,315.3
2013-10-01,306.8
2013-11-01,295.3
2013-12-01,302.9
2014-01-01,297.5
2014-02-01,309.1
2014-03-01,306.5
2014-04-01,306.7
2014-05-01,304.4
2014-06-01,296.5
2014-07-01,295.3
2014-08-01,293.9
2014-09-01,291
2014-10-01,271.4
2014-11-01,260.9
2014-12-01,218.9
2015-01-01,173.6
2015-02-01,184.3
2015-03-01,185.7
2015-04-01,178.2
2015-05-01,196.6
2015-06-01,193.4
2015-07-01,187
2015-08-01,180.4
2015-09-01,163.1
2015-10-01,165.3
2015-11-01,159.7
2015-12-01,131.1
2016-01-01,114.4
2016-02-01,107.7
2016-03-01,113.8
2016-04-01,116.8
2016-05-01,137.8
2016-06-01,149.4
2016-07-01,152.2
2016-08-01,143.5
2016-09-01,155.5
2016-10-01,153.4
2016-11-01,152.9
2016-12-01,153.3
2017-01-01,158
2017-02-01,159.7
2017-03-01,158
2017-04-01,157.9
2017-05-01,165.3
2017-06-01,163.1
2017-07-01,169.1
2017-08-01,179
2017-09-01,192.5
2017-10-01,202.9
2017-11-01,211.2
2017-12-01,212.7
2018-01-01,218
2018-02-01,216.6
2018-03-01,214
2018-04-01,220.5
2018-05-01,238.8
2018-06-01,248.9
2018-07-01,244.2
2018-08-01,242
2018-09-01,249.8
2018-10-01,258.4
2018-11-01,252.6
2018-12-01,221.5
2019-01-01,191.6
2019-02-01,207.8
2019-03-01,227.3
2019-04-01,226.2
2019-05-01,224.4
2019-06-01,197
2019-07-01,212.7
2019-08-01,198.9
2019-09-01,209
2019-10-01,210.8
